region_id,province_id,code,id,name,name_ar
01.,01.051.,03,01.051.03.,Cercle : Bni Boufrah,بني بوفراح
01.,01.051.,05,01.051.05.,Cercle : Bni Ouriaghel,بني ورياغل
01.,01.051.,07,01.051.07.,Cercle : Targuist,تارجيست
01.,01.051.,09,01.051.09.,Cercle : Ketama,كتامة
01.,01.151.,03,01.151.03.,Cercle : Bab Berred, باب برد
01.,01.151.,05,01.151.05.,Cercle : Bab Taza, باب تازة
01.,01.151.,06,01.151.06.,Cercle : Bni Ahmed,بني أحمد
01.,01.151.,07,01.151.07.,Cercle : Bou Ahmed,بو أحمد
01.,01.151.,09,01.151.09.,Cercle : Jebha, ألجبهة
01.,01.227.,03,01.227.03.,Cercle : Anjra,انجرة
01.,01.227.,05,01.227.05.,Cercle : Fahs, فحص
01.,01.331.,07,01.331.07.,Cercle : Loukouss,لوكوس
01.,01.331.,09,01.331.09.,Cercle : Moulay Abdeslem-Ben M'chich, مولاي عبد السلام بن مشيش
01.,01.331.,11,01.331.11.,Cercle : Oued El Makhazine,واد المخازن
01.,01.405.,07,01.405.07.,Cercle : Ouezzane,وزان
01.,01.405.,09,01.405.09.,Cercle : Moqrisset,مقريصات
01.,01.405.,11,01.405.11.,Cercle : Zoumi, زومي
01.,01.511.,03,01.511.03.,Cercle : Assilah,أصيلة
01.,01.511.,81,01.511.81.,Cercle : -,دائرة -
01.,01.571.,03,01.571.03.,Cercle : Jebala,جبالة
01.,01.571.,05,01.571.05.,Cercle : Tétouan,تطوان
01.,01.573.,03,01.573.03.,Cercle : -,دائرة -
02.,02.113.,03,02.113.03.,Cercle : Ahfir,أحفير
02.,02.113.,05,02.113.05.,Cercle : Aklim,أكليم
02.,02.167.,03,02.167.03.,Cercle : Driouch,الدريوش
02.,02.167.,09,02.167.09.,Cercle : Rif,ريف
02.,02.251.,03,02.251.03.,Cercle : Bni Tadjite,بني تجيت
02.,02.251.,05,02.251.05.,Cercle : Figuig,فكيك
02.,02.265.,05,02.265.05.,Cercle : Guercif,غرسيف
02.,02.265.,07,02.265.07.,Cercle : Taddart,تادرت
02.,02.275.,03,02.275.03.,Cercle : Jerada Banlieue,الضواحي جرادة
02.,02.275.,05,02.275.05.,Cercle : Ain Bni  Mathar,عين بني مطهر
02.,02.381.,05,02.381.05.,Cercle : Guelaia,كلاية
02.,02.381.,07,02.381.07.,Cercle : Louta, لوطا
02.,02.411.,03,02.411.03.,Cercle : Oujda  Banlieue Nord,الضواحي وجدة الشمالية
02.,02.411.,05,02.411.05.,Cercle : Oujda  Banlieue Sud,الضواحي وجدة الجنوبية
02.,02.533.,03,02.533.03.,Cercle : Debdou,دبدو
02.,02.533.,07,02.533.07.,Cercle : El Aioun,العيون
02.,02.533.,09,02.533.09.,Cercle : Taourirt,تاوريرت
03.,03.061.,03,03.061.03.,Cercle : Ain Orma,عين عرمة
03.,03.061.,05,03.061.05.,Cercle : Meknès Banlieue,الضواحي مكناس
03.,03.061.,07,03.061.07.,Cercle : Zerhoun,زرهون
03.,03.131.,03,03.131.03.,Cercle : Boulemane,بولمان
03.,03.131.,05,03.131.05.,Cercle : Missour,ميسور
03.,03.131.,07,03.131.07.,Cercle : Outat El Haj,أوطاط الحاج
03.,03.171.,03,03.171.03.,Cercle : Agourai,أكوراي
03.,03.171.,05,03.171.05.,Cercle : Ain Taoujdate, عين تاوجطات
03.,03.171.,07,03.171.07.,Cercle : El Hajeb,الحاجب
03.,03.231.,81,03.231.81.,Cercle : Fès Banlieue,الضواحي فاس
03.,03.271.,03,03.271.03.,Cercle : Azrou,أزرو
03.,03.271.,81,03.271.81.,Cercle : -,دائرة -
03.,03.451.,03,03.451.03.,Cercle : El Menzel,المنزل
03.,03.451.,05,03.451.05.,Cercle : Imouzzer  Kandar,إيموزار كندر
03.,03.451.,07,03.451.07.,Cercle : Sefrou, صفرو
03.,03.531.,03,03.531.03.,Cercle : Ghafsai, غفساي
